2;1;1;2.8644769191741943;243;2.6050572395324707;0;25960;success
8;1;1;10.119596719741821;242;0;0;0;success
5;2;1;1.6596038341522217;123;1.5218067169189453;-1;46244;success
5;2;1;8.308879375457764;210;0;0;0;success
3;1;1;16.79476022720337;137;5.523805856704712;-2;46244;success
a;2;1;14.928136110305786;259;0;0;0;success
8;1;1;23.411195039749146;178;5.424386739730835;-2;26344;success
3;1;1;30.065834999084473;211;0;0;0;success
7;2;1;21.606414556503296;302;5.359128952026367;2;28772;success
2;1;1;36.7129602432251;167;0;0;0;success
2;2;1;28.253972053527832;243;5.389382839202881;2;25972;success
8;1;1;43.32758545875549;250;0;0;0;success
4;2;1;34.86778140068054;177;5.422315835952759;-1;29144;success
a;1;1;49.967000007629395;260;0;0;0;success
7;2;1;41.50691270828247;103;5.522023439407349;2;28772;success
2;1;1;56.587286949157715;126;0;0;0;success
a;2;1;48.128859519958496;169;5.438187599182129;-1;29144;success
6;2;1;54.82193446159363;185;0;0;0;success
9;1;1;63.30635166168213;278;5.425774812698364;1;28772;success
a;2;1;61.335862159729004;220;5.28037428855896;1;28772;success
